88 1117
38 54 2
38 55 2
38 56 2
38 57 2
38 58 2
38 59 3
38 5 2
38 62 3
38 63 1
38 64 3
38 66 2
38 68 3
38 69 1
38 6 3
38 72 2
38 73 2
38 74 2
38 75 2
38 76 2
38 77 2
38 78 2
38 79 2
38 80 2
38 81 3
38 7 3
38 82 2
38 83 2
38 87 2
38 8 1
39 15 1
39 19 1
39 32 1
39 38 2
39 63 2
39 6 2
39 80 1
40 26 1
40 59 1
40 6 1
40 81 1
40 86 1
41 15 3
41 21 2
41 24 2
41 2 2
41 32 3
41 36 3
41 47 3
41 49 4
41 51 3
41 4 4
41 54 1
41 5 3
41 63 2
41 69 2
41 72 1
41 6 4
41 73 2
41 74 3
41 76 1
41 77 1
41 80 3
41 83 2
42 15 2
42 21 3
42 38 3
42 59 1
42 63 3
42 6 1
42 80 2
42 81 1
43 19 1
43 38 2
43 5 1
44 15 2
44 21 3
44 38 3
44 59 1
44 81 1
45 15 1
45 59 2
45 6 2
46 19 1
46 32 1
46 38 2
47 9 2
47 21 2
47 26 2
47 27 2
47 36 1
47 38 2
47 41 3
47 48 1
47 4 2
47 51 1
47 52 2
47 59 2
47 63 2
47 6 2
47 76 3
47 78 3
47 80 1
47 81 1
47 84 2
48 15 1
48 21 2
48 36 1
48 47 1
48 4 2
48 59 2
48 63 2
48 80 1
49 9 1
49 13 1
49 15 2
49 16 1
49 17 1
49 21 3
49 23 1
49 26 1
49 29 1
49 32 2
49 35 1
49 36 2
49 38 3
49 41 4
49 50 1
49 51 2
49 52 1
49 53 1
49 59 1
49 60 1
49 5 2
49 62 1
49 63 3
49 64 1
49 68 1
49 6 1
49 74 2
49 75 4
49 78 4
49 80 2
49 81 1
50 15 2
50 21 3
50 32 2
50 49 1
50 51 2
50 5 2
50 63 3
50 80 2
51 15 1
51 19 1
51 21 2
51 26 2
51 32 1
51 36 1
51 37 2
51 38 2
51 41 3
51 47 1
51 49 2
51 4 2
51 52 2
51 59 2
51 63 2
51 6 2
51 80 1
51 7 2
51 81 2
52 0 1
52 15 2
52 21 3
52 32 2
52 47 2
52 49 1
52 4 1
52 80 2
53 15 2
53 35 1
53 49 1
53 4 1
53 59 1
53 81 1
54 12 1
54 15 3
54 21 2
54 2 2
54 32 3
54 36 3
54 38 2
54 41 1
54 57 1
54 58 1
54 5 3
54 63 2
54 66 1
54 73 2
54 75 1
54 78 1
54 79 1
54 8 2
55 15 1
55 21 2
55 32 1
55 36 1
55 38 2
55 63 2
55 6 2
55 80 1
56 15 1
56 21 2
56 38 2
56 63 2
56 80 1
57 15 3
57 21 2
57 38 2
57 54 1
57 72 1
57 77 1
58 15 3
58 21 2
58 32 3
58 38 2
58 54 1
58 63 2
58 72 1
58 76 1
58 77 1
59 9 1
59 0 1
59 10 2
59 11 1
59 13 1
59 15 2
59 17 1
59 1 1
59 20 1
59 21 3
59 23 1
59 28 1
59 29 1
59 31 1
59 2 3
59 32 2
59 33 1
59 34 1
59 37 1
59 38 3
59 40 1
59 42 1
59 44 1
59 45 1
59 47 2
59 48 2
59 49 1
59 4 1
59 51 2
59 53 1
59 59 1
59 5 2
59 62 1
59 63 1
59 64 1
59 67 1
59 68 1
59 6 1
59 70 1
59 71 1
59 75 4
59 7 1
59 80 2
59 85 1
60 32 2
60 49 1
60 6 1
60 80 2
61 4 1
62 15 21
62 21 3
62 26 1
62 27 1
62 38 3
62 49 1
62 4 1
62 59 1
62 63 3
62 80 2
62 81 1
62 86 1
63 11 3
63 12 2
63 15 2
63 17 3
63 21 1
63 23 3
63 24 1
63 2 1
63 32 2
63 33 3
63 36 2
63 38 1
63 39 2
