88 634
0  4 1
0  9 1
0 15 2
0 21 3
0 52 1
0 59 1
0 81 1
1  6 1
1 15 2
1 26 1
1 38 3
1 59 1
1 81 1
2  6 3
2 15 2
2 19 1
2 19 2
2 21 1
2 32 2
2 36 2
2 38 1
2 41 2
2 54 2
2 59 3
2 63 1
2 66 2
2 75 2
2 78 2
2 83 1
3 19 1
3 21 2
3 38 2
4  5 2
4  6 1
4  9 1
4 11 1
4 15 2
4 17 1
4 20 1
4 21 3
4 23 1
4 26 1
4 27 1
4 32 2
4 33 1
4 33 2
4 35 1
4 36 2
4 38 3
4 41 4
4 45 2
4 47 2
4 48 2
4 51 2
4 52 1
4 53 1
4 59 1
4 61 1
4 62 1
4 63 3
4 64 1
4 68 1
4 70 1
4 74 2
4 75 4
4 76 4
4 78 4
4 80 2
4 81 1
4 85 1
4 86 1
4 87 2
5  6 2
5 15 1
5 19 1
5 21 2
5 24 1
5 24 2
5 26 2
5 30 1
5 32 1
5 38 2
5 41 3
5 43 1
5 49 1
5 49 2
5 50 2
5 52 2
5 54 3
5 59 2
5 63 2
5 63 3
5 66 3
5 75 3
5 77 3
5 81 2
5 85 2
6  7 1
6  9 1
6 11 1
6 13 1
6 14 1
6 15 2
6 16 1
6 17 1
6 20 1
6 21 3
6 23 1
6 25 1
6 26 1
6 27 1
6 28 1
6 29 1
6 31 1
6 32 2
6 33 2
6 34 1
6 35 1
6 36 2
6 38 3
6 39 2
6 40 1
6 41 4
6 42 1
6 45 1
6 45 2
6 47 2
6 49 1
6 51 2
6 53 1
6 55 2
6 59 1
6 60 1
6 63 3
6 64 1
6 65 1
6 67 1
6 68 1
6 71 1
6 73 3
6 74 2
6 75 4
6 78 4
6 80 2
6 81 1
6 86 1
7 15 2
7 19 1
7 19 2
7 32 2
7 35 1
7 38 3
7 51 2
7 59 1
7 80 2
7 81 1
8 21 1
8 38 1
8 54 2
8 63 1
8 79 2
9 15 2
9 21 3
9 32 2
9 36 2
9 47 2
9 49 1
9 59 1
9 80 2
10 15 1
10 19 1
10 32 1
10 59 2
11 15 2
11 26 1
11 38 3
11 59 1
11 63 3
11 81 1
12 15 3
12 21 2
12 38 2
12 54 1
12 63 2
12 72 1
12 77 1
13 15 2
13 32 2
13 49 1
13 59 1
14 15 2
14 32 2
14 59 1
15 16 2
15 17 2
15 21 2
15 22 1
15 23 2
